,text
565,"Dissociative (conversion) disorder F44 37 Unexplained somatic complaints -F45 
Presenting complain 
Any physical symptom may be present."
566,Symptoms may vary widely across cultures.
567,"Complaints may be single or multiple, and may change over time."
568,"I Diagnostic features I 
-Various many physical symptoms without a physical explanation (a full history and 
physical examination are necessary to detennine this)."
569,-Frequent medical visits in spite of negative investigations.
570,-Some patients may be primarily concerned with obtaining relief from physical symptoms.
571,"Others may be worried about having a physical illness and be unable to believe that no 
physical condition is present (hypochondriasis)."
572,-Symptoms of depression and anxiety are common.
573,"I Differential diagnosis I 
Seeking narcotics for relief of pain may also be a sign of drug use disorder."
574,"See Drug use disorders 
-Fl1#."
575,"-If low or sad mood is prominent, see Depression -F32#."
576,"-If strange beliefs about symptoms are present (e. g., belief that organs are decaying), see Acute 
psychotic disorders F23."
577,"-If anxiety symptoms are prominent, see Panic disorder -F41.0 and Generalized anxiety disorder 
-F4l.l."
578,38 Unexplained somatic complaints F45 -Stress often produces physical symptoms.
579,"-Focus on managing the symptoms, not on discovering their cause."
580,"-Cure may not always be possible; the goal is to live the best life possible even if symptoms 
continue."
581,"Counselling of patient and family 
-Acknowledge that the patient's physical symptoms are real."
582,"They are not lies or inven­
tions."
583,-Ask about the patient's beliefs (what is causing the symptoms?)
584,"and fears (what does he/she 
fear may happen?)."
585,"-Offer appropriate reassurance (e. g., abdominal pain does not indicate cancer)."
586,"Advise pa­
tients not to focus on medical worries."
587,-Discuss emotional stresses that were present when the symptoms began.
588,"-Relaxation methods can help relieve symptoms related to tension (headache, neck or back 
pain)."
589,-Encourage exercise and enjoyable activities.
590,"The patient need not wait until all symptoms 
are gone before returning to normal routines."
591,"-For patients with more chronic complaints, time-limited appointments that are regularly 
scheduled can prevent more frequent urgent visits."
592,"Medication I 
Avoid unnecessary diagnostic testing or prescription of new medication for each new symp­
tom."
593,"Antidepressant medication (e. g., amitriptyline 50-100 mg a day) may be helpful in some cases 
(e. g., headache, irritable bowel syndrome, atypical chest pain)."
594,"I Specialist consultation I 
Avoid referrals to specialists."
595,Patients are best managed in primary care settings.
596,"Patients may be offended by psychiatric referral and seek additional medical consultation else­
where."
597,"Unexplained somatic complaints -F45 39 Neurasthenia -F48.0 
(includes chronic fatigue) 
I Presenting complaints 
Patients may report: 
-lack of energy 
-aches and pains 
-feeling tired easily 
-inability to complete tasks."
598,Patients may request certification for medical leave or disability.
599,"I Diagnostic features I 
-Mental or physical fatigue."
600,"-Tired after minimal effort, with rest bringing little relief."
601,"-Lack of energy 
Other common symptoms include: 
dizziness headache 
disturbed sleep inability to relax 
irritability aches and pains 
decreased libido poor memory and concentration 
The disorder may occur after infection or other physical illness 
I Differential diagnosis I 
Many physical disorders can cause fatigue."
602,A full history and physical examination is necessary.
603,"-If low or sad mood is prominent, see Depression -F32#."
604,"-If anxiety attacks are prominent, see Panic disorder -F41.1."
605,"-If unexplained physical symptoms are prominent, see Unexplained somatic complaints -F45."
606,"40 Neurasthenia -F4S.0 Essential information for patient and family 
Periods of fatigue or exhaustion are common and are usually temporary."
607,Treatment is possible and usually has good results.
608,"Counselling of patient and family I 
Advise brief rest (less than two weeks) followed by a gradual return to usual activities."
609,"The patient can build endurance with a programme of gradually increasing physical ac­
tivity."
610,Start with a manageable level and increase a little each week.
611,Emphasize pleasant or enjoyable activities.
612,"Encourage the patient to resume activities 
which have helped in the past."
613,"Medication I 
No physical treatment has been established."
614,"If other mental or physical disorders are present, 
they may require physical treatment."
615,"Activating antidepressants (e. g., fluoxetine, amineptine, desipramine) are sometimes helpful."
616,"Specialist consultation 
Consider consultation if severe symptoms continue longer than three months."
617,"Neurasthenia 1'48.0 41 Eating disorders -F50 
I Presenting complaints I 
The patient may present because of binge eating or extreme weight control measures such as 
self-induced vomiting, excessive use of diet pills, and laxative abuse."
618,"The family may ask for help because of the patient's loss of weight, refusal to eat, vomiting or 
amenorrhea."
619,"Common features 
-unreasonable fear of being fat or gaining weight 
-extensive efforts to control weight (strict dieting, vomiting, use of purgatives, excessive ex-
ercise) 
-denial that weight or eating habits are a problem."
620,"Patients with anorexia nervosa typically show: 
-severe dieting despite very low weight 
-distorted body image (unreasonable belief that one is overweight) 
-amenorrhea."
621,"Patients with bulimia typically show: 
-binge eating (eating large amounts of food in a few hours) 
-purging (attempts to eliminate food by self-induced vomiting, diuretic or laxative use)."
622,A patient may show both anorexic and bulimic patterns at different times.
623,"I Differential diagnosis I 
Depression may occur along with bulimia or anorexia."
624,See Depression -F32#.
625,"Both anorexia and bulimia may cause physical disorders (amenorrhea, hypokalemia, seizures, 
cardiac arrhythmias) that require monitoring or treatment."
626,"42 Eating disorders -FSO Essential information for patient and family 
Purging and severe dieting may cause serious physical harm."
627,"Anorexia nervosa can be life­
threatening."
628,"Adopting more normal eating habits will give patients a greater sense of control over their 
eating habits and weight."
629,"Purging and severe dieting are ineffective ways of achieving lasting weight control 
Specific counselling of patient and family 
Establish a collaborative relationship and explore ambivalence about changing eating habits 
and gaining weight."
630,"Review concerns about job and about current and future health (e. g., childbearing) that arise 
from eating problems."
631,-Plan daily meals based on normal intake of calories and nutrients.
632,"Consultation with a die­
titian will be helpful."
633,"Focus on establishing normal patterns of eating and help patients 
develop more realistic ideas about food."
634,.
635,"Challenge the patient's strong convictions about weight, shape and eating (e. g., carbohy­
drates are fattening) and challenge rigid views about body image (e. g., patients believe no 
one will like them unless they are very thin) 
In the case of patients with bulimia, identify situations when binge eating occurs and make 
clear plans to cope more effectively with these trigger events."
636,-Hospitalization may be necessary if these are medical complications of dieting or vomiting.
637,"I Medication I 
Antidepressant drugs have sometimes been effective in controlling binge eating."
638,"I Specialist consultation I 
Consider consultation if severe or physically dangerous symptoms continue after the above 
measures."
639,Family conflicts may cause eating problems or result from them.
640,"Consider referral for family 
counselling, if available."
641,"Eating disorders -FSO 43 Sleep problems (insomnia) -F51 
Presenting complaints I 
Patients are distressed and sometimes disabled by the daytime effects of poor sleep."
642,"I Diagnostic features I 
Difficulty falling asleep."
643,-Restless or unrefreshing sleep.
644,Frequent or prolonged periods of awakeness.
645,"Differential diagnosis I 
Short-term sleep problems may result from stressful life events, acute physical illnesses, or 
changes in schedule."
646,"Persistent sleep problems may indicate another cause: 
if low or sad mood, and loss of interest in activities are prominent, see Depression -F32#."
647,"-if daytime anxiety is prominent, see Generalized anxiety -F41.1."
648,Sleep problems can be a presenting complaint of alcohol or substance abuse.
649,"Enquire about 
current substance use."
650,"Consider medical conditions which may cause insomnia (e. g., heart failure, pulmonary disease, 
pain conditions)."
651,"Consider medications which may cause insomnia (e.g., steroids, theophylline, decongestants, 
some antidepressant drugs)."
652,"If the patient snores loudly while asleep, consider sleep apnoea."
653,"It will be helpful to take a 
history from the bed partner."
654,"Patients with sleep apnoea often complain of daytime sleepiness 
but are unaware of night-time awakenings."
655,"44 Sleep problems (insomnia) -F51 Essential information for patient and family 
-Temporary sleep problems are common at times of stress or physical illness."
656,-The normal amount of sleep varies widely and usually decreases with age.
657,Improvement of sleeping habits (not sedative medication) is the best treatment.
658,Worry about not being able to sleep can worsen insomnia.
659,Alcohol may help a person to fall asleep but can lead to restless sleep and early awakening.
660,Stimulants (including coffee and tea) can cause or worsen insomnia.
661,"Counselling of patient and family I 
Maintain a regular sleep routine by: 
relaxing in the evening 
keeping to regular hours for going to bed and getting up in the morning, trying not to vary 
the schedule or ""sleep in"" on the weekend 
-getting up at the regular time even if the previous night's sleep was poor 
-aVOiding daytime naps since they can disturb the next night's sleep."
662,-Recommend relaxation exercises to help the patient to fall asleep.
663,-Advise the patient to avoid caffeine and alcohol.
664,"-If the patient cannot fall asleep within 20 minutes, advise him/her to get up and try again 
later when feeling sleepy."
665,"Daytime exercise can help the patient to sleep regularly, but evening exercise may contribute 
to insomnia."
666,"Medication I 
Treat underlying psychiatric or physical condition."
667,"Make changes to medication, as appropriate."
668,"Hypnotic medication may be used intermittently (e. g., benzodiazepines such as te­
mazepam IS-30mg at bedtime)."
669,"Risk of dependence increases significantly after 14 days of 
use."
670,Avoid hypnotic medication in cases of chronic insomnia.
671,"Specialist consultation I 
Consider consultation: 
if more complex sleep disorders (e. g., narcolepsy, sleep apnoea) are suspected 
if significant insomnia continues despite the measures above."
672,"Sleep problems (insomnia) FSl 4S Sexual disorders (male) -F52 
[p;esenting complaints I 
Patients may be reluctant to discuss sexual matters."
673,"They may instead complain of physical 
symptoms, depressed mood or marital problems."
674,Spedal problems may occur in cultural minorities.
675,"I Diagnostic features I 
Common sexual disorders presenting in the male are: 
-erectile dysfunction or impotence (erection is absent or is lost before completion of satisfac­
tory sexual relations) 
-premature ejaculation (ejaculation occurs too early for satisfactory sexual realtions) 
-orgasmiC dysfunction or delayed ejaculation (ejaculation is greatly delayed or absent and 
may occur only after the person has gone to sleep) 
low sexual desire (more of a problem if the couple want children or if the female partner 
has greater sexual need)."
676,"[iif'i'erential diagnosis I 
If low or sad mood is prominent, see Depression -F32#."
677,"Problems in marital relationships often contribute to sexual disorders, espedaUy those of desire."
678,"Ejaculatory problems may be circumstancial (e.g., performance anxiety, overexcitement, am­
bivlanece about partner) or may be caused by medication, but specific organic pathology is 
rare."
679,"Physical factors which may contribute to impotence include diabetes, hypertension, multiple 
sclerOSiS, alcohol abuse and medication."
680,"46 Sexual disorders (male) F52 • Erectile dysfunction (failure of genital response, impotence) 
Essential information for patient and spouse 
Erectile dysfunction has many possible causes."
681,"It is often a temporary response to stress or loss 
of conficence and is treatable, especially if morning erections occur."
682,"I Counselling of patient and spouse I 
Advise patient and partner to refrain from attempting intercourse for one or two weeks."
683,"En­
courage them to practise pleasurable physical contact without intercourse during that time, 
with a gradual return to full intercourse."
684,"Inform them of the possibility of physical treatment 
by penile rings, vacuum devices and intracavemosal injections."
685,"• Premature ejaculation 
Essential information for patient and spouse 
Control of ejaculation is possible, and can enchance sexual pleasure for both partners."
686,"I Counselling of patient and spouse I 
Reassure the patient that ejaculation can be delayed by learning new approaches (the squeeze 
or stop-start technique)."
687,"Delay can also be achieved with clomipramine or seratonin reuptake 
inhibitors (e. g., fluoxetine)."
688,"• Orgasmic dysfunction 
Essential information for patient and spouse 
This is a more difficult condition to treat."
689,"However, if ejaculation can be brought about in some 
way (e. g., masturbation) the prognosiS is better."
690,"I Counselling of patient and spouse I 
Recommend exercises such as penile stimulation with body oil."
691,"For fertility, consider artificial 
insemination by husband."
692,"• low sexual desire 
Essential information for patient and spouse 
Low sexual desire has many causes, including hormonal deficiencies, physical and psychiatric 
illnesses, stress and relationship problems."
693,"I Counselling of patient and spouse I 
Encourage relaxation, stress reduction, open communication, appropriate assertiveness and 
cooperation between partners."
694,"I Specialist consultation I 
Consider consultation if the sexual problem lasts more than three months despite the above 
measures."
695,"Sexual disorders (male) -FS2 47 Sexual disorders (female) -F52 
Presenting complaints I 
Patients may be reluctant to discuss sexual matters."
696,"They may instead complain of physical 
symptoms, depressed mood or marital problems."
697,Special problems may occur in cultural minorities.
698,"I Diagnostic features I 
Common sexual disorders presenting in the male are: 
low sexual desire (more of a problem if the couple want children or if the male martner has 
greater sexual need) 
-vaginismus or spasmodic contraction of vaginal muscles on attempted penetrations (often 
seen in nonconsummated marriages) 
-dyspareunia (pain in the vagina or pelvic region during intercourse) 
anorgamia (orgasm or climax is not experienced)."
699,"Differ~ntial diagnosis I 
-If low or sad mood is prominent, see Depression F32#."
700,"-Problems in marital relationships often contribute to sexual disorders, especially those of 
desire."
701,Vaginismus rarely has a physical cause.
702,"Factors that may contribute to dyspareunia include vaginal infections, pelvic infections (sal­
pingitis) and other pelvic lesions (tumours or cysts)."
703,-Anorgasmia in intercourse is very common.
704,"The etiology is unknown but in some cases 
medication may contribute."
705,"48 Sexual disorders (female) -FS2 • Low sexual desire 
Essential information for patient and spouse 
Low sexual desire has many causes, including marital problems, earlier traumas, physical and 
psychiatric illnesses and stress."
706,The problem is often temporary.
707,"I Counselling of patient and spouse I 
Discuss patient's beliefs about sexual realtions."
708,"Ask about traumatic sexual experiences and 
negative attitudes to sex."
709,See couple together to try to lower husband's sexual expectations.
710,Suggest planning sexual activity for specific days.
711,"• Vaginismus 
Essential information for patient and spouse 
Vaginismus is simply a form of muscle spasm and can be overcome by relaxation exercises."
712,"I Counselling of patient and spouse I 
Digital examination of vagina will confirm diagnosis."
713,"Recommend exercises for husband and 
patient with graded dilators or finger dilation, accompanied by relaxation."
714,"• Dyspareunia 
Essential information for patient and spouse 
There are many physical causes, but in some cases poor lubrication and muscle tension are the 
main factors."
715,"I Counselling of patient and spouse I 
Relaxation, prolonged foreplay and careful penetration may overcome psychogenic problems."
716,Referral to a gynaecologist is advisable if simple measures are unsuccessful.
717,"• Anorgasmia 
Essential information for patient and spouse 
Many women are unable to experience orgasm during intercourse but can usually achieve it 
by clitoral stimulation."
718,"I Counselling of patient and spouse I 
Discuss patient's beliefs and attitudes."
719,"Encourage manual self-exploration (e. g., genital stimu­
lation)."
720,"The couple should be helped to communicate openly and to reduce any unrealistic 
expectations."
721,"I Specialist Consultation I 
Consider consultation if the sexual problem lasts longer than three months despite the above 
measures."
722,"Sexual disorders (female) -FS2 49 Mental retardation -F70 
In children: 
delay in usual development (walking, speaking, toilet training) 
-difficulties with school work, as well as with other children, because of learning disabilities 
problems of behaviour."
723,"In adolescents: 
-difficulties with peers 
inappropriate sexual behaviour."
724,"In adults: 
difficulties in everyday functioning (e. g., cooking, cleaning) 
problems with normal social development, (e. g., finding work, marriage, child-rearing)."
725,"Slow or incomplete mental development resulting in: 
learning difficulties 
social adjustment problems."
726,"The range of severity includes: 
severely retarded (usually identified before age Z, requires help with daily tasks, capable of 
only simple speech) 
moderately retarded (usually identified by age 3-5, able to do simple work with supervision, 
needs guidance or supervision in daily activities) 
mildly retarded (usually identified during school years, limited in school work, but able to 
live alone and work at simple jobs)."
727,"If possible, evaluation should include consultation about appropriate training and rehabilita­
tion."
728,"I Differential diagnosis I 
Specific learning difficulties, attention deficit disorder (see Hyperkinetic disorder -F90), motor 
disorders (e. g., cerebral palsy) and sensory problems (e. g., deafness) may also interfere with 
school performance."
729,Malnutrition or chronic medical illness may cause developmental delays.
730,"Most causes of mental 
retardation cannot be treated."
731,"The more common treatable causes of retardation include hy­
pothyroidism, lead poisoning and some inborn errors of metabolism (e. g., phenylketonuria)."
732,"50 Mental retardation F70 Essential information for patient and family 
-Early training can help a mentally retarded person towards independence and self-care."
733,-Retarded children are capable of loving relationships.
734,"Specific counselling of patient and family 
-Reward effort."
735,"Allow retarded children and adults to function at the highest level of their 
ability in school, work and family."
736,-Families may feel great loss or feel overwhelmed by the burden of caring for a retarded child.
737,Offer sympathy and reassurance.
738,-Advise families that training will be helpful but that miracle cures do not exist.
739,"I Medication I 
Except in the case of certain physical or psychiatric disorders, medical treatment cannot im­
prove mental function."
740,"Retardation may occur with other disorders that require medical treatment (e. g., seizures,spas­
ticity psychiatric illness such as depression)."
741,"I Specialist consultation I 
When retardation is first identified, consider specialist consultation to help plan education and 
training."
742,"Mental retardation -P70 51 Hyperkinetic (attention deficit) disorder -F90 
I Presenting complaints 
Patients: 
-can't sit still 
-are always moving 
-cannot wait for others 
-will not listen to what others say 
-have poor concentration."
743,Younger ones are likely to be failing in school work.
744,"I Diagnostic features I 
Usually there is: 
-severe difficulty in maintaining attention (short attention span, frequent changes of activity) 
-abnormal physical restlessness (most evident in classroom or at mealtimes) 
-impulsiveness (the patient cannot wait his or her turn, or acts without thinking)."
745,"Sometimes there may be discipline problems, underachievement in school, proneness to acci­
dents."
746,"This pattern occurs in all situations (home, school, play)."
747,Avoid premature diagnosis.
748,High levels of physical activity are not necessarily abnormal.
749,"I Differential diagnosis I 
Also consider presence of: 
- a specific physical disorder (e. g., epilepsy, fetal alcohol syndrome, thyroid disease) 
-general emotional disorders (patient exhibits anxiety depression) 
-autism (social/language impairment and stereotyped behaviours are present) 
-conduct disorder (patient exhibits disruptive behaviour without inattentiveness, see Conduct 
disorder -F91 #) 
-mild mental retardation or learning disability."
750,Hyperkinetic behaviour can either cause or result from parent-child problems.
751,"Assessment of 
family relationships may be important."
752,"S2 Hyperkinetic (attention deficit) disorder -F90 Essential information for patient and family 
-Hyperkinetic behaviour is not the child's fault, it is caused by an impairment of attention 
and self-control that is often inborn."
753,The outcome is better if parents can be calm and accepting.
754,"Hyperactive children need extra help to remain calm and attentive at home and schooL 
-Some hyperactive children continue to have difficulties into adulthood, but most make a 
satisfactory adjustment."
755,"Counselling of patient and family 
Encourage parents to give positive feedback or recognition when the child is able to pay 
attention."
756,Avoid punishment.
757,Disciplinary control must be immediate (within seconds) to be effective.
758,"Advise parents to discuss the problem with the child's schoolteacher (to explain that learning 
will be in short bursts, immediate rewards will encourage attention, and periods of individual 
attention in class may be beneficial)."
759,"Stress the need to minimize distractions (e.g., have child sit at front of class)."
760,Sport or other physical activity may help release excess energy.
761,Encourage parents to meet with the school psychologist or counsellor (if available).
762,"Medication I 
For more severe cases, stimulant medication may improve attention and reduce overactivity 
(e.g.,methylphenidate lS-4Smg a day or dextroamphetamine 10-30mg a day)."
763,"Pemoline 
60-120 mg a day is preferred if substance abuse is possible (adolescents) and clonidine 25-50 mg 
a day is preferred if motor tics are also present."
764,"Specialist consultation 
If available, consider consultation before starting drug treatment or if the above measures are 
unsuccessful."
765,"Referral for behavioural treatment, if available, can improve attention and self-control."
766,"Hyperkinetic (attention deficit) disorder -F90 S3 Conduct disorder -F91 # 
Presenting complaints I 
Parents or schoolteachers may request help in managing disruptive behaviour."
767,"I Diagnostic features I 
A consistent pattern of abnormally aggressive or defiant behaviour such as: 
fighting bullying truancy 
cruelty stealing 
lying vandalism."
768,-Conduct must be judged by what is normal for age and culture.
769,"-Conduct disorder may be associated with stress at home or schooL 
I Differenti~1 diagnosis I 
Some rebellious behaviour may be within the normal range."
770,"Inconsistent discipline or conflict in the family, or inadequate supervision at school, may con­
tribute to disruptive behavior."
771,"Disruptive behaviour can also be caused by a depressive state, learning disability, situational 
problems or parent-child problems."
772,May occur together with hyperkinetic disorder.
773,"If overactivity and inattention are prominent, 
see Hyperkinetic disorder -F90."
774,"S4 Conduct disorder -F91 # Essential information for patient and family 
Effective discipline should be clear and consistent, but not harsh."
775,Avoid punishment.
776,It is more helpful to reward positive behaviour.
777,"Counselling to patient and family I 
Ask about the reasons for disruptive behaviour."
778,"Alter the child's circumstances accordingly, 
as far as is possible."
779,Encourage parents to give positive feedback or recognition for good behaviour.
780,Parents should make discipline consistent.
781,"They should set clear and firm limits on bad 
behaviour and should inform the child in advance of the consequences of exceeding those 
limits."
782,Parents should enforce the consequences immediately and without fail.
783,Advise parents to discuss this approach to discipline with teachers.
784,"Relatives, friends or community resources can support parents in providing consistent dis­
cipline."
785,"No physical treatment has been established 
I Specialist consultation I 
Consider consultation if severe behaviour problems persist following the above measures."
786,"Conduct disorder F91 # ss Enuresis -F98.0 
Presenting complaints I 
Repeated urination into clothes or bed."
787,"I Diagnostic features I 
Delay in ability to control urination (Note: wetting at night is normal until the mental age 
of 5 years)."
788,"The urination 
-is usually involuntary, though occasionally intentional 
-may be continuous from birth, or may follow a period of continence 
-sometimes occurs with more general emotional or behavioural disorder 
-may begin after stressful or traumatic events."
789,"I Differential diagnosis I 
Most enuresis has no physical cause (primary enuresis), but enuresis may be secondary to: 
-neurological disorder (spina bifida) where urination is also abnormal during the day 
-diabetes or diuretic drugs thay may cause polyuria and urgency 
-seizure disorder 
structural urinary tract abnormality 
-acute urinary tract infection 
-generalized emotional disturbance."
790,Initial evaluation should include urine examination.
791,"If daytime urination is normal and enu­
resis is the only problem, further testing is usually not necessary."
792,"S6 Enuresis -F98.0 Essential information for patient and family 
-Enuresis is usually part of a spedfic delay in development."
793,It is often hereditary.
794,-The outlook is good.
795,Treatment is usually effective.
796,Enuresis is not within a child's voluntary control.
797,"Night-time wetting occurs while the child 
is asleep."
798,-Punishment and scolding are unlikely to help and may increase emotional distress.
799,"I Counselling of patient or family I 
-Make the child a part of his/her own treatment."
800,"If possible, the child should take respon-
sibility for the problem and its management (e. g., changing clothes, pyjamas and bedding)."
801,-Have the child keep a record of dry nights on a calendar.
802,-Give praise and encouragement for success.
803,"-Offer reassurance if the child is anxious about using toilets (e. g., at night, away from home)."
804,"-If available, simple alarm systems will warn the child of night-time wetting and can improve 
bladder control."
805,"Ensure that the child wakes and urinates in the toilet when the alarm 
sounds."
806,Up to 12 weeks of use may be needed.
807,"-Exercises to increase bladder control while awake may be helpful (resisting urge to urinate 
for longer and longer periods!"
808,stopping urination in mid-stream).
809,"Medication I 
Regular use of medication is usually not though it can help when children have a spedal need 
to be dry."
810,"Effective medications include imipramine (2S-S0mg two hours before bedtime), 
desmopressin (20-40 micrograms intranasally) or urinary antispasmodic agents (e. g., Genur­
ine)."
811,"I Specialist consultation I 
Consider psychiatric/psychological consultation: 
-if enuresis occurs in association with severe family conflict or more severe emotional dis­
turbance 
-in case of urinary infection, persistent daytime incontinence, or an abnonnal urinary stream 
-if problem persists beyond age 10."
812,"Enuresis F98.0 57 Bereavement disorder -Z63 
Presenting complaints I 
The patient 
-feels overwhelmed by loss 
-is preoccupied with the lost loved one 
-may present with somatic symptoms following loss."
813,"Diagnostic feat 
Normal grief includes preoccupation with loss of loved one."
814,"However, this may be accompanied by symptoms resembling depression, such as: 
-low or sad mood 
-disturbed sleep 
-loss of interest 
-guilt or self-criticism 
-restlessness."
815,"The patient may 
-withdraw from usual activities and social contacts 
-find it difficult to think of the future."
816,"I Differential diagnosis I 
If a full picture of depression is still present 2 months after the loss, consider depression."
817,"See 
Depression -F32#."
818,"Symptoms that cannot be related to the loss of a loved one are inappropriate guilt and feelings 
of worthlessness."
819,Marked psychomotor slowing may directly indicate depression.
820,"Symptoms resembling depression may not, however, be indicative of depression (e. g., guilt 
about actions not taken by the person before the death of the loved one; thoughts of death 
reflected in statements such as ""I should die and join the beloved one"" or ""l should have died 
instead""; some hallucinations such as seeing the deceased person or hearing his or her voice."
821,"58 Bereavement disorder -Z63 Essential information for patient and family 
Important losses are often followed by intense sadness, crying, anxiety, guilt or irritability."
822,"Bereavement typically includes preoccupation with the deceased (including hearing or see­
ing the person) 
A desire to discuss the loss is normaL 
Allow the bereaved person to talk about the deceased and the circumstances of the 
death."
823,"-Encourage free expression of feelings about the loss (including feelings of sadness, guilt or 
anger) 
-Offer reassurance that recovery will take time."
824,"Some reduction in burdens (work, social com­
mitments) may be necessary."
825,"-Explain that intense grieving will fade slowly over several months but that reminders of the 
loss may continue to provoke feelings of loss and sadness."
826,"Medication I 
Decisions about antidepressant medication should be delayed for three months or more."
827,"If 
Significant depressive symptoms persist longer than three months, see Depression F32 for 
advice on use of antidepressants."
828,"If severe insomnia occurs, short-term use of hypnotic drugs may be helpful (e.g., temazepam 
15 mg each night) but use should be limited to two weeks."
829,"Specialist consul 
Consider consultation if severe symptoms of grief persist for longer tht six months, and in any 
case before prescribing antidepressant medication."
830,Bereaved children may benefit from family counselling.
831,"Bereavement disorder -Z63 S9 Brief Version 
for Primary Care Workers FO$ -Cognitive disorders 
In chronic (long-term) cases, patients may complain of forgetfulness or feeling depressed but 
may be unaware of memory loss."
832,"Patients and family may sometimes deny severity of memory 
loss."
833,"In acute (new) cases, patients may appear agitated, uncooperative or fearful."
834,"Families ask for help in milder cases because of failing memory, change in personality or be­
haviour."
835,"In more acute or advanced cases families seek help because of confusion, wandering 
or incontinence."
836,Poor hygiene in an older patient may indicate memory loss.
837,"I Diagnostic features 
In acute (new or short-term) cases, patients will be confused with clouded thinking or 
awareness."
838,"This is often accompanied by agitation, wandering attention, loss of orientation, 
hallucinations, suspiciousness and disturbed sleep."
839,"In chronic (old or long-term) cases, patients will have decline in recent memory, thinking 
and judgement, orientation and language."
840,"Patients often appear apathetic or disinterested, 
but may appear alert and appropriate despite poor memory."
841,Cognitive disorders are common in older patients but very rare in youth or middle age.
842,Loss of emotional control is common; patients may easily become tearful or irritable.
843,"Tests of memory and thinking may include: 
remembering the names of three common objects immediately and after three minutes 
naming the days of the week in reverse order 
-recalling details of the previous day's meals."
844,"I Differential diagnosis I 
Sudden increases in confusion may indicate a physical illness."
845,"Examine for physical causes of 
confusion or memory loss, including: 
alcohol, drugs, prescribed medication 
-infection (urinary infection, syphilis, HIV) 
-metabolic changes (hypoxia, hypoglycemia, dehydration) 
-head trauma."
846,"Depre'ssion may interfere with memory and concentration, especially in older patients."
847,"If sad 
mood is prominent, see Depression -F3$."
848,"64 FO$ Cognitive disorders Essential information for patient and family 
Memory problems are common in old age."
849,"Memory loss or confusion may cause behaviour problems (e. g., agitation, suspiciousness, 
emotional outbursts)."
850,Physical illness or mental stress can increase confusion.
851,"Counselling of patient and family I 
In acute cases: 
• take measures to prevent the patie t from harming him/herself or others (e.g., remove 
unsafe objects, restrain if necessary) 
• ensure that basic needs (food and d ink) are met 
• hospitalization may be necessary to treat a physical condition or to control agitation."
852,"Assess the patient's ability to perform I daily tasks safely 
-Supportive contact with familiar people can reduce confusion."
853,Avoid placing the patient in unfamili<ir surroundings or situations.
854,"Prepare the patient for 
any changes in daily routine."
855,"i 
Consider ways to reduce stress on th(~se caring for the patient."
856,"Support from other families 
with similar difficulties may be helpful."
857,"As appropriate, discuss arrangements for support in the home, community or day care pro­
grammes, or residential placement."
858,"-In chronic cases, discuss planning of legal and financial affairs."
859,"I Medication I 
Use sedative or hypnotic medications (e. g., benzodiazepines) cautiously."
860,"They may increase 
confusion."
861,"Antipsychotic medication in low doses (e.g., haloperidol O.Smg to l.Omg once or twice a 
day) may sometimes be needed to control agitation, psychotic symptoms or aggression."
862,"Beware 
of drug side-effects (Parkinsonism, anticholinergic effects)."
863,"I Specialist consultation I 
Seek consultation for medical conditions requiring specialist treatment (e. g., syphilis, subdural 
haematoma)."
864,"FO$ Cognitive disorders 6S Fl $ -Alcohol and drug use disorders 
I Presenting complaints I 
Patients may present with: 
-depressed mood 
-nervousness 
-insomnia 
physical complications of alcohol or drug use (ulcer, gastritis, liver disease, blood infections) 
legal and social problems due to alcohol or drug use (marital problems, missed work) 
accidents or injuries due to alcohol or drug use."
865,Patients may sometimes deny alcohol or drug use.
866,"There may also be signs of alcohol or drug withdrawal (sweating, tremors, morning sickness, 
hallUCinations, muscle cramps, watering of eyes or nose)."
867,"Family may request help before patient does (e. g., because patient is irritable at home, missing 
work)."
868,"I Diagnostic features I 
Hannful alcohol or drug use: 
-heavy alcohol or drug use (quantity defined by local standards, e.g., over 21 drinks per 
week for men, 14 drinks per week for women) 
-use of alcohol or drugs has caused physical or mental hann (e. g., liver disease, depression) 
or social consequences (e. g., loss of job)."
869,"Alcohol or drug dependence: 
-continued alcohol or drug use despite hannful consequences 
-difficulty controlling alcohol or drug use 
-strong desire to use alcohol or drugs 
-tolerance (uses large amounts of alcohol or drugs without appearing intoxicated) 
withdrawal (anxiety, tremors, sweating after stopping use)."
870,"I Differential diagnosis I 
Reducing alcohol or drug use may be desirable for some patients who do not fit the above 
guidelines."
871,Symptoms of anxiety or depression may OCOlr with heavy alcohol or drug use.
872,"If these continue 
after a period of abstinence, see Depression F3$ and Anxiety disorders -F4$."
873,"66 Ft $ -Alcohol and drug use disorders Essential information for patient and family 
-Alcohol and drug disorders are illnesses with serious consequences."
874,"Stopping or reducing 
alcohol and drug use will bring mental and physical benefits."
875,-Drinking or using drugs during pregnancy can harm the baby.
876,"-Intravenous drug use can cause serious infection (e.g., HIV, hepatitis)."
877,"In some cases of harmful alcohol use without dependence, controlled or reduced drinking 
is a reasonable goal."
878,"In other cases, abstinence from alcohol and drugs is the goal."
879,"-For those with alcohol or drug dependence, abstinence is the goal."
880,"Because abrupt discon-
tinuation can cause withdrawal symptoms, medical supervision is necessary."
881,-Relapses are common after stopping or reducing use.
882,"I Counselling of patient and family 
For patients willing to stop now 
-Set a definite day to quit."
